session,total_bytes,packet_count,avg_duration,avg_bytes_per_second,avg_packets_per_second,percentage
192.168.1.25:62387-192.168.1.1:53-TCP,21195,297,0.15732699999999997,4989.6076325106305,69.91806873581776,97.88178270039406
192.168.1.25:62377-192.168.1.1:53-TCP,19602,297,0.132922,5461.849806653526,82.755300100811,97.85717388031894
192.168.1.25:59728-192.168.1.1:53-TCP,9900,150,1.110323,178.32648697721297,2.7019164693517115,97.84576291771633
192.168.1.25:59772-192.168.1.1:53-TCP,9900,150,1.066964,185.57327145058315,2.8117162340997446,97.84576291771633
192.168.1.25:62346-192.168.1.1:53-TCP,18954,297,0.198921,3529.0391663022,55.298334514706845,97.84545072194277
192.168.1.25:62301-192.168.1.1:53-TCP,20655,297,0.152294,5023.178851432098,72.22871551078833,97.83761954890907
192.168.1.25:62352-192.168.1.1:53-TCP,19872,297,0.14483,5081.820064903681,75.95111510046262,97.81097774280913
192.168.1.25:62356-192.168.1.1:53-TCP,19116,297,0.128496,5509.899140829287,85.60577761175445,97.79054823791333
192.168.1.25:62452-192.168.1.1:53-TCP,20280,286,0.092217,8458.310289859788,119.2838630621252,97.77951106930473
192.168.1.25:59993-192.168.1.1:53-TCP,21756,343,0.139494,3182.93259925158,50.18136980802041,97.76801805785803
192.168.1.25:62456-192.168.1.1:53-TCP,20488,286,0.111633,7058.844606881479,98.53717090824398,97.76766054616837
192.168.1.25:62304-192.168.1.1:53-TCP,24030,297,0.380717,2337.69440292921,28.892852171035177,97.76207292107243
192.168.1.25:60321-192.168.1.1:53-TCP,21462,343,0.143392,3054.563713456818,48.81722829725508,97.73690237596078
192.168.1.25:62378-192.168.1.1:53-TCP,19278,297,0.120726,5914.2189752000395,91.11541838543478,97.71868119064182
192.168.1.25:62355-192.168.1.1:53-TCP,19440,297,0.121612,5920.468374831431,90.45160017103575,97.71868119064182
192.168.1.25:62299-192.168.1.1:53-TCP,20250,297,0.120978,6199.474284580668,90.92562284051645,97.71868119064182
192.168.1.25:62389-192.168.1.1:53-TCP,21195,297,0.131238,5981.499260884805,83.81718709520109,97.71519018492488
192.168.1.25:61170-192.168.1.1:53-TCP,20784,336,0.142277,3043.3590812288708,49.19980038938129,97.71093760850916
192.168.1.25:58827-192.168.1.1:53-TCP,22185,357,0.15543,2798.6875120633085,45.03635076883484,97.70788022261073
192.168.1.25:62385-192.168.1.1:53-TCP,22572,324,1.117307,748.2276581100807,10.740109925025083,97.70731305254012
192.168.1.25:59530-192.168.1.1:53-TCP,22050,350,0.16684200000000002,2643.2193332614092,41.95586243272078,97.70513881140893
192.168.1.25:58894-192.168.1.1:53-TCP,21930,357,0.206674,2080.5713345655477,33.86976591153217,97.70384784404615
192.168.1.25:58911-192.168.1.1:53-TCP,21726,357,0.201981,2109.109272654359,34.656725137512936,97.70384784404615
192.168.1.25:62693-89.149.192.245:443-TCP,14280,238,2.052693375,290.05244744883896,4.834207457480649,97.70375847204443
192.168.1.25:62691-89.149.192.245:443-TCP,14280,238,2.0427966250000003,291.4593896862569,4.857656494770948,97.70375847204443
192.168.1.25:62787-192.168.1.1:53-TCP,18101,276,0.104643,7520.808845312156,114.67561136435309,97.70138830748868
192.168.1.25:59826-192.168.1.1:53-TCP,22150,350,0.200842,2205.71394429452,34.8532677428028,97.69503745714387
192.168.1.25:59529-192.168.1.1:53-TCP,22050,350,0.20133900000000002,2190.3357024719503,34.767233372570644,97.69503745714387
192.168.1.25:58833-192.168.1.1:53-TCP,22440,357,0.196818,2235.567885051164,35.565852716723064,97.69503745714387
192.168.1.25:62300-192.168.1.1:53-TCP,20790,297,0.151025,5098.493626882967,72.83562324118523,97.69062845111985
192.168.1.25:62451-192.168.1.1:53-TCP,18200,286,0.111534,6276.113113490056,98.62463464055804,97.68127352148798
192.168.1.25:60549-192.168.1.1:53-TCP,21266,343,0.181099,2396.479273767387,38.65289151237721,97.63516554455929
192.168.1.25:62350-192.168.1.1:53-TCP,29133,297,0.208663,5171.017382094574,52.71658128177972,97.6350640926001
192.168.1.25:60325-192.168.1.1:53-TCP,21462,343,0.190518,2298.995370516172,36.74193514523562,97.62697723829953
192.168.1.25:62405-192.168.1.1:53-TCP,21654,297,0.120009,6682.832120924264,91.659792182253,97.62038388476718
